ID,Name,Type,Description,OID,Properties,Source,Visible,Enabled
1009,Voltage L3,GRID_VOLTAGE,,1.1.13.1:1009,"{'alarm_c': '3', 'alarm_debounce': '900', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '2000', 'alarm_min_threshold': '100', 'alarm_tdc': '900', 'alarm_tdo': '900', 'alarm_type': '357', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '31053', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
101,Voltage L1,GRID_VOLTAGE,,1.1.1.3:101,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '33071', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1011,Active Power AC,AC_ACTIVE_POWER,,1.1.13.2:1011,"{'alarm_c': '3', 'alarm_debounce': '86400', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '100', 'alarm_min_threshold': '0.1', 'alarm_tdc': '21600', 'alarm_tdo': '21600', 'alarm_type': '51', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'energy_link': 'D.1011.ENERGY', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'power_link': 'D.1011.PERC', 'register': '32077', 'sampling_period': '300', 'shift': '', 'sun_filter': '1', 'virtuals': '1'}",sundra,True,True
1012,Current L1,CURRENT,,1.1.13.2:1012,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '32074', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1013,Current L2,CURRENT,,1.1.13.2:1013,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '32075', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1014,Current L3,CURRENT,,1.1.13.2:1014,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '32076', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1016,Grid Frequency,GRID_FREQUENCY,,1.1.13.2:1016,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '32070', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1017,Module Board Temperature,TEMPERATURE,,1.1.13.2:1017,"{'alarm_c': '3', 'alarm_debounce': '300', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '70', 'alarm_min_threshold': '-10', 'alarm_tdc': '300', 'alarm_tdo': '300', 'alarm_type': '52', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '3207C', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1018,Voltage L1,GRID_VOLTAGE,,1.1.13.2:1018,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '32071', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1019,Voltage L2,GRID_VOLTAGE,,1.1.13.2:1019,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '32072', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
102,Voltage L2,GRID_VOLTAGE,,1.1.1.3:102,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '33072', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1020,Voltage L3,GRID_VOLTAGE,,1.1.13.2:1020,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '32073', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1021,Active Power AC,AC_ACTIVE_POWER,,1.1.13.3:1021,"{'alarm_c': '3', 'alarm_debounce': '86400', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '100', 'alarm_min_threshold': '0.1', 'alarm_tdc': '21600', 'alarm_tdo': '21600', 'alarm_type': '51', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'energy_link': 'D.1021.ENERGY', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'power_link': 'D.1021.PERC', 'register': '33077', 'sampling_period': '300', 'shift': '', 'sun_filter': '1', 'virtuals': '1'}",sundra,True,True
1022,Current L1,CURRENT,,1.1.13.3:1022,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '33074', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1023,Current L2,CURRENT,,1.1.13.3:1023,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '33075', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1024,Current L3,CURRENT,,1.1.13.3:1024,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '33076', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1026,Grid Frequency,GRID_FREQUENCY,,1.1.13.3:1026,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '33070', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1027,Module Board Temperature,TEMPERATURE,,1.1.13.3:1027,"{'alarm_c': '3', 'alarm_debounce': '300', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '70', 'alarm_min_threshold': '-10', 'alarm_tdc': '300', 'alarm_tdo': '300', 'alarm_type': '52', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '3307C', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1028,Voltage L1,GRID_VOLTAGE,,1.1.13.3:1028,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '33071', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1029,Voltage L2,GRID_VOLTAGE,,1.1.13.3:1029,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '33072', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
103,Voltage L3,GRID_VOLTAGE,,1.1.1.3:103,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '33073', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1030,Voltage L3,GRID_VOLTAGE,,1.1.13.3:1030,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '33073', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1031,Active Power AC,AC_ACTIVE_POWER,,1.1.13.4:1031,"{'alarm_c': '3', 'alarm_debounce': '86400', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '100', 'alarm_min_threshold': '0.1', 'alarm_tdc': '21600', 'alarm_tdo': '21600', 'alarm_type': '51', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'energy_link': 'D.1031.ENERGY', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'power_link': 'D.1031.PERC', 'register': '34077', 'sampling_period': '300', 'shift': '', 'sun_filter': '1', 'virtuals': '1'}",sundra,True,True
1032,Current L1,CURRENT,,1.1.13.4:1032,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '34074', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1033,Current L2,CURRENT,,1.1.13.4:1033,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '34075', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1034,Current L3,CURRENT,,1.1.13.4:1034,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '34076', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1036,Grid Frequency,GRID_FREQUENCY,,1.1.13.4:1036,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '34070', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1037,Module Board Temperature,TEMPERATURE,,1.1.13.4:1037,"{'alarm_c': '3', 'alarm_debounce': '300', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '70', 'alarm_min_threshold': '-10', 'alarm_tdc': '300', 'alarm_tdo': '300', 'alarm_type': '52', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '3407C', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1038,Voltage L1,GRID_VOLTAGE,,1.1.13.4:1038,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '34071', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1039,Voltage L2,GRID_VOLTAGE,,1.1.13.4:1039,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '34072', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
104,Active Power AC,AC_ACTIVE_POWER,,1.1.1.4:104,"{'alarm_c': '3', 'alarm_debounce': '86400', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '100', 'alarm_min_threshold': '0.1', 'alarm_tdc': '21600', 'alarm_tdo': '21600', 'alarm_type': '51', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'energy_link': 'D.104.ENERGY', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'power_link': 'D.104.PERC', 'register': '34077', 'sampling_period': '300', 'shift': '', 'sun_filter': '1', 'virtuals': '1'}",sundra,True,True
1040,Voltage L3,GRID_VOLTAGE,,1.1.13.4:1040,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '34073', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1041,DC Current 01,DC_CURRENT,,1.1.13.5:1041,"{'alarm_c': '5', 'alarm_debounce': '60', 'alarm_function': '', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '60', 'alarm_tdo': '60', 'alarm_type': '', 'capacity': '4.6', 'cast': 'U16', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': 'N STRING', 'mask_value': '1', 'register': '301062', 'sampling_period': '300', 'string_count': '1', 'sun_filter': '1'}",sundra,True,True
1042,DC Current 02,DC_CURRENT,,1.1.13.5:1042,"{'alarm_c': '5', 'alarm_debounce': '60', 'alarm_function': '', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '60', 'alarm_tdo': '60', 'alarm_type': '', 'capacity': '4.6', 'cast': 'U16', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': 'N STRING', 'mask_value': '1', 'register': '301063', 'sampling_period': '300', 'string_count': '1', 'sun_filter': '1'}",sundra,True,True
1043,DC Current 03,DC_CURRENT,,1.1.13.5:1043,"{'alarm_c': '5', 'alarm_debounce': '60', 'alarm_function': '', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '60', 'alarm_tdo': '60', 'alarm_type': '', 'capacity': '4.6', 'cast': 'U16', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': 'N STRING', 'mask_value': '1', 'register': '301064', 'sampling_period': '300', 'string_count': '1', 'sun_filter': '1'}",sundra,True,True
1044,DC Current 04,DC_CURRENT,,1.1.13.5:1044,"{'alarm_c': '5', 'alarm_debounce': '60', 'alarm_function': '', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '60', 'alarm_tdo': '60', 'alarm_type': '', 'capacity': '4.6', 'cast': 'U16', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': 'N STRING', 'mask_value': '1', 'register': '301065', 'sampling_period': '300', 'string_count': '1', 'sun_filter': '1'}",sundra,True,True
1045,DC Current 05,DC_CURRENT,,1.1.13.5:1045,"{'alarm_c': '5', 'alarm_debounce': '60', 'alarm_function': '', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '60', 'alarm_tdo': '60', 'alarm_type': '', 'capacity': '4.6', 'cast': 'U16', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': 'N STRING', 'mask_value': '1', 'register': '301066', 'sampling_period': '300', 'string_count': '1', 'sun_filter': '1'}",sundra,True,True
1046,DC Current 06,DC_CURRENT,,1.1.13.5:1046,"{'alarm_c': '5', 'alarm_debounce': '60', 'alarm_function': '', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '60', 'alarm_tdo': '60', 'alarm_type': '', 'capacity': '4.6', 'cast': 'U16', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': 'N STRING', 'mask_value': '1', 'register': '301067', 'sampling_period': '300', 'string_count': '1', 'sun_filter': '1'}",sundra,True,True
1047,DC Current 07,DC_CURRENT,,1.1.13.5:1047,"{'alarm_c': '5', 'alarm_debounce': '60', 'alarm_function': '', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '60', 'alarm_tdo': '60', 'alarm_type': '', 'capacity': '4.6', 'cast': 'U16', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': 'N STRING', 'mask_value': '1', 'register': '301068', 'sampling_period': '300', 'string_count': '1', 'sun_filter': '1'}",sundra,True,True
1048,DC Current 08,DC_CURRENT,,1.1.13.5:1048,"{'alarm_c': '5', 'alarm_debounce': '60', 'alarm_function': '', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '60', 'alarm_tdo': '60', 'alarm_type': '', 'capacity': '4.6', 'cast': 'U16', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': 'N STRING', 'mask_value': '1', 'register': '301069', 'sampling_period': '300', 'string_count': '1', 'sun_filter': '1'}",sundra,True,True
1049,DC Current 09,DC_CURRENT,,1.1.13.5:1049,"{'alarm_c': '5', 'alarm_debounce': '60', 'alarm_function': '', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '60', 'alarm_tdo': '60', 'alarm_type': '', 'capacity': '4.6', 'cast': 'U16', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': 'N STRING', 'mask_value': '1', 'register': '30106A', 'sampling_period': '300', 'string_count': '1', 'sun_filter': '1'}",sundra,True,True
