timestamp,156,172,D.156.DELTA,D.171.ISIRR
2023-08-03 02:00:00,55879352.0,20.314,0.0,2.733
2023-08-03 03:00:00,55879384.0,20.987,32.0,25.903
2023-08-03 04:00:00,55879624.0,23.415,240.0,105.087
2023-08-03 05:00:00,55880448.0,30.657,824.0,299.341
2023-08-03 06:00:00,55882112.0,29.233,1664.0,503.772
2023-08-03 07:00:00,55884384.0,31.196,2272.0,705.484
2023-08-03 08:00:00,55887044.0,32.619,2660.0,860.458
2023-08-03 09:00:00,55889904.0,33.872,2860.0,955.439
2023-08-03 10:00:00,55892584.0,34.549,2680.0,993.854
2023-08-03 11:00:00,55894904.0,35.742,2320.0,956.043
2023-08-03 12:00:00,55897352.0,36.935,2448.0,849.005
2023-08-03 13:00:00,55899532.0,37.949,2180.0,691.266
2023-08-03 14:00:00,55901124.0,38.111,1592.0,489.651
2023-08-03 15:00:00,55901948.0,38.656,824.0,273.05
2023-08-03 16:00:00,55902120.0,39.191,172.0,84.638
2023-08-03 17:00:00,55902124.0,31.637,4.0,11.498
2023-08-03 18:00:00,55902124.0,29.077,0.0,2.469
2023-08-03 19:00:00,55902124.0,27.491,0.0,2.448
2023-08-03 20:00:00,55902124.0,26.408,0.0,2.448
2023-08-03 21:00:00,55902124.0,25.451,0.0,2.447
2023-08-03 22:00:00,55902124.0,24.262,0.0,2.431
2023-08-03 23:00:00,55902124.0,24.108,0.0,2.407
2023-08-04 00:00:00,55902124.0,24.04,0.0,2.43
2023-08-04 01:00:00,55902124.0,23.718,0.0,2.438
2023-08-04 02:00:00,55902124.0,23.823,0.0,2.719
2023-08-04 03:00:00,55902168.0,24.645,44.0,25.765
2023-08-04 04:00:00,55902440.0,26.131,272.0,89.282
2023-08-04 05:00:00,55903160.0,31.249,720.0,249.243
2023-08-04 06:00:00,55904640.0,32.774,1480.0,467.804
2023-08-04 07:00:00,55906852.0,34.914,2212.0,680.243
2023-08-04 08:00:00,55909552.0,36.813,2700.0,832.984
2023-08-04 09:00:00,55912368.0,38.232,2816.0,918.87
2023-08-04 10:00:00,55915248.0,39.067,2880.0,956.764
2023-08-04 11:00:00,55918076.0,39.61,2828.0,931.897
2023-08-04 12:00:00,55920516.0,39.209,2440.0,831.718
2023-08-04 13:00:00,55922760.0,38.485,2244.0,669.637
2023-08-04 14:00:00,55924336.0,37.508,1576.0,472.627
2023-08-04 15:00:00,55925124.0,36.285,788.0,261.15
2023-08-04 16:00:00,55925312.0,35.374,188.0,84.36
2023-08-04 17:00:00,55925316.0,30.619,4.0,10.579
2023-08-04 18:00:00,55925316.0,28.261,0.0,2.477
2023-08-04 19:00:00,55925316.0,26.611,0.0,2.471
2023-08-04 20:00:00,55925316.0,25.48,0.0,2.463
2023-08-04 21:00:00,55925316.0,24.438,0.0,2.455
2023-08-04 22:00:00,55925316.0,23.791,0.0,2.441
2023-08-04 23:00:00,55925316.0,23.26,0.0,2.437
2023-08-05 00:00:00,55925316.0,22.78,0.0,2.447
2023-08-05 01:00:00,55925316.0,22.343,0.0,2.454
2023-08-05 02:00:00,55925316.0,22.022,0.0,2.712
2023-08-05 03:00:00,55925348.0,22.674,32.0,24.762
2023-08-05 04:00:00,55925584.0,25.111,236.0,125.675
2023-08-05 05:00:00,55926520.0,30.542,936.0,282.909
2023-08-05 06:00:00,55928124.0,29.714,1604.0,514.971
2023-08-05 07:00:00,55930508.0,31.499,2384.0,713.748
2023-08-05 08:00:00,55933332.0,34.128,2824.0,872.919
2023-08-05 09:00:00,55936400.0,35.393,3068.0,965.889
2023-08-05 10:00:00,55939524.0,36.503,3124.0,1001.973
2023-08-05 11:00:00,55942556.0,36.911,3032.0,967.518
2023-08-05 12:00:00,55945060.0,37.189,2504.0,834.646
2023-08-05 13:00:00,55947124.0,36.681,2064.0,645.124
2023-08-05 14:00:00,55948760.0,36.265,1636.0,492.457
2023-08-05 15:00:00,55949564.0,35.743,804.0,273.01
2023-08-05 16:00:00,55949740.0,36.229,176.0,86.5
2023-08-05 17:00:00,55949744.0,30.59,4.0,10.344
2023-08-05 18:00:00,55949744.0,28.11,0.0,2.464
2023-08-05 19:00:00,55949744.0,27.31,0.0,2.463
2023-08-05 20:00:00,55949744.0,26.317,0.0,2.457
2023-08-05 21:00:00,55949744.0,24.78,0.0,2.45
2023-08-05 22:00:00,55949744.0,23.885,0.0,2.407
2023-08-05 23:00:00,55949744.0,23.191,0.0,2.419
2023-08-06 00:00:00,55949744.0,23.436,0.0,2.44
2023-08-06 01:00:00,55949744.0,24.451,0.0,2.427
2023-08-06 02:00:00,55949744.0,24.228,0.0,2.598
2023-08-06 03:00:00,55949772.0,24.462,28.0,20.497
2023-08-06 04:00:00,55950032.0,25.813,260.0,95.222
2023-08-06 05:00:00,55950928.0,30.358,896.0,280.182
2023-08-06 06:00:00,55952004.0,30.82,1076.0,353.177
2023-08-06 07:00:00,55953304.0,32.076,1300.0,417.317
