time_utc,gti_instant
2025-06-22 09:00:00+00:00,889.55
2025-06-22 10:00:00+00:00,862.15
2025-06-22 11:00:00+00:00,910.91
2025-06-22 12:00:00+00:00,768.33
2025-06-22 13:00:00+00:00,677.38
2025-06-22 14:00:00+00:00,529.41
2025-06-22 15:00:00+00:00,342.87
2025-06-22 16:00:00+00:00,144.72
2025-06-22 17:00:00+00:00,21.54
2025-06-22 18:00:00+00:00,0.0
2025-06-22 19:00:00+00:00,0.0
2025-06-22 20:00:00+00:00,0.0
2025-06-22 21:00:00+00:00,0.0
